,"Pref Vendor","Reorder Pt (Min)","Max","On Hand","On Sales Order","For Assemblies","Available","Order","On PO","Reorder Qty","Next Deliv","Sales/Week"
"Inventory",,,,,,,,,,,,
"C1709B-SET (14mm 1.5' Bulge Acorn Lug Nuts, Black - 3/4' Hex, Set of 20)","Topline",5,"",4,0,0,4,"X",0,2,,0
"C1709H34 (14mm 1.5' Bulge Acorn Lug Nut, Chrome - 3/4' Hex)","Topline",200,"",2606,0,0,2606,,0,0,,0
"C1709H34-SET (14mm 1.5' Bulge Acorn Lug Nuts, Chrome - 3/4' Hex, Set of 20)","Topline",5,"",6,0,0,6,,0,0,,0
"C21205BS (7/16' Standard Install Kit (16 Bulge 3/4' Lugs, 4 Locks & 4 Chrome V-St...","Topline",20,"",0,0,0,0,"X",0,21,,0
"C21405BS (1/2' Standard Install Kit (16 Bulge 3/4' Lugs, 4 Locks & 4 Chrome V-Ste...","Topline",20,"",0,0,0,0,"X",0,21,,0.2
"C21705BS (12mm 1.50 Standard Install Kit (16 Bulge 3/4' Lugs, 4 Locks & 4 Chrome ...","Topline",10,"",24,0,0,24,,0,0,,0.2
"C22205B (7/16' Bullet Lug Lock Kit)","Topline",20,"",5,0,0,5,"X",0,16,,0
"C22405B (1/2' Bullet Lug Lock Kit)","Topline",20,"",0,0,0,0,"X",0,21,,2.8
"C22705B (12mm 1.5' Bullet Lug Lock Kit)","Topline",10,"",18,0,0,18,,0,0,,0
"C40205 (7/16' 4 Locks Set for Standard Install Kit)","Topline",20,"",99,0,0,99,,0,0,,0
"C40405 (1/2' 4 Locks Set for Standard Install Kit)","Topline",20,"",96,0,0,96,,0,0,,0
"C40705 (12mm 4 Locks Set for Standard Install Kit)","Topline",20,"",107,0,0,107,,0,0,,0
"C48205C (7/16' 4 Bullet Locks Set for Bullet Lug Lock Kit)","Topline",20,"",36,0,0,36,,0,0,,0
"C48405C (1/2' 4 Bullet Locks Set for Bullet Lug Lock Kit)","Topline",20,"",19,0,0,19,"X",0,2,,0
"C48705C (12mm 4 Bullet Locks Set for Bullet Lug Lock Kit)","Topline",20,"",42,0,0,42,,0,0,,0
"C504S (Short Chrome Sleeve Rubber Valve Stem)","Topline",1000,"",1148,6,0,1142,,0,0,,22.4
"C540 (Bullet Valve Cap, Chrome)",,20,"",147,0,0,147,,0,0,,0
"C6002 (7/16' Hex Lug Nut, Chrome)","Topline",20,"",932,0,0,932,,0,0,,0
"C6002-SET (7/16' Hex Lug Nuts, Chrome, Set of 20)","Topline",1,"",0,0,0,0,"X",0,2,,0
"C6004 (1/2' Hex Lug Nut, Chrome)","Topline",20,"",663,0,0,663,,0,0,,0
"C6004-SET (1/2' Hex Lug Nuts, Chrome, Set of 20)","Topline",1,"",0,0,0,0,"X",0,2,,0
"C6007 (12mm 1.5' Hex Lug Nut, Chrome)","Topline",20,"",701,0,0,701,,0,0,,0
