,"Pref Vendor","Reorder Pt (Min)","Max","On Hand","On Sales Order","For Assemblies","Available","Order","On PO","Reorder Qty","Next Deliv","Sales/Week"
"Inventory",,,,,,,,,,,,
"R30-666535 (16x6 Igniter As Cast 5x4.50, 3.50 bs)","Custom Wheel Solutions",366,"",32,0,0,32,"X",0,335,,0
"R30-668535 (SLOW...16x6 Igniter As Cast 5x5.50, 3.50 bs - 3.45 cb)","Custom Wheel Solutions",366,"",9,0,0,9,"X",0,358,,0.9
"R30-686137 (SLOW...16x8 Igniter As Cast 5x4.75, 3.75 bs)","Custom Wheel Solutions",368,"",10,0,0,10,"X",0,359,,0
"R30-686537 (SLOW...16x8 Igniter As Cast 5x4.50, 3.75 bs)","Custom Wheel Solutions",368,"",19,0,0,19,"X",0,350,,0
"R30-688537 (SLOW...16x8 Igniter As Cast 5x5.50, 3.75 bs - 3.45 cb)","Custom Wheel Solutions",368,"",7,0,0,7,"X",0,362,,0
"R30 (R30 - IGNITER AS CAST) - Other","Custom Wheel Solutions","","",0,0,0,0,,0,0,,0
"Total R30 (R30 - IGNITER AS CAST)",,,,234,0,0,234,,0,,,1.4
"R31 (R31 - IGNITER POLISHED)",,,,,,,,,,,,
"R31-566135 (15x6 Igniter Polished 5x4.75, 3.50 bs)","Custom Wheel Solutions",356,"",13,0,0,13,"X",0,344,,0
"R31-566535 (15x6 Igniter Polished 5x4.50, 3.50 bs)","Custom Wheel Solutions",356,"",39,2,0,37,"X",0,318,,1.9
"R31-567335 (SLOW...15x6 Igniter Polished 5x5.00, 3.50 bs - 3.45 cb)","Custom Wheel Solutions",356,"",12,0,0,12,"X",0,345,,0
"R31-576142 (15x7 Igniter Polished 5x4.75, 4.25 bs)","Custom Wheel Solutions",357,"",15,0,0,15,"X",0,343,,0
"R31-576542 (15x7 Igniter Polished 5x4.50, 4.25 bs)","Custom Wheel Solutions",357,"",24,0,0,24,"X",6,328,"08/06/2019",0
"R31-577342 (SLOW...15x7 Igniter Polished 5x5.00, 4.25 bs - 3.45 cb)","Custom Wheel Solutions",357,"",7,0,0,7,"X",0,351,,0
"R31-586137 (15x8 Igniter Polished 5x4.75, 3.75 bs)","Custom Wheel Solutions",358,"",25,0,0,25,"X",0,334,,0
"R31-586537 (15x8 Igniter Polished 5x4.50, 3.75 bs)","Custom Wheel Solutions",358,"",37,0,0,37,"X",0,322,,0
"R31-587337 (15x8 Igniter Polished 5x5.00, 3.75 bs - 3.45 cb - NOTE**CWS Inventory...","Custom Wheel Solutions",358,"",38,0,0,38,"X",0,321,,-0.9
"R31-646120 (SLOW...16x4.5 Igniter Polished 5x4.75, 2.00 bs)","Custom Wheel Solutions",3645,"",11,0,0,11,"X",0,3635,,0
"R31-646520 (16x4.5 Igniter Polished 5x4.50, 2.00 bs)","Custom Wheel Solutions",3645,"",22,0,0,22,"X",0,3624,,0
"R31-648520 (SLOW...16x4.5 Igniter Polished 5x5.50, 2.00 bs - 3.45 cb)","Custom Wheel Solutions",3645,"",15,0,0,15,"X",0,3631,,0
"R31-666135 (16x6 Igniter Polished 5x4.75, 3.50 bs)","Custom Wheel Solutions",366,"",7,2,0,5,"X",0,360,,0
"R31-666535 (16x6 Igniter Polished 5x4.50, 3.50 bs)","Custom Wheel Solutions",366,"",38,0,0,38,"X",0,329,,0
"R31-667335 (DISCONTINUE...16x6 Igniter Polished 5x5.00, 3.50 bs  3.45 cb)","Custom Wheel Solutions",366,"",20,0,0,20,"X",0,347,,0
"R31-668535 (16x6 Igniter Polished 5x5.50, 3.50 bs - 3.45 cb)","Custom Wheel Solutions",366,"",12,0,0,12,"X",0,355,,0
"R31-686137 (16x8 Igniter Polished 5x4.75, 3.75 bs SLOW)","Custom Wheel Solutions",368,"",22,0,0,22,"X",0,347,,0.5
"R31-686145 (SLOW...16x8 Igniter Polished 5x4.75, 4.50 bs)","Custom Wheel Solutions",368,"",27,0,0,27,"X",0,342,,0
"R31-686537 (16x8 Igniter Polished 5x4.50, 3.75 bs)","Custom Wheel Solutions",368,"",12,0,0,12,"X",0,357,,0
"R31-686545 (16x8 Igniter Polished 5x4.50, 4.50 bs)","Custom Wheel Solutions",368,"",10,0,0,10,"X",0,359,,0
"R31-687337 (DISCONTINUE...16x8 Igniter Polished 5x5.00, 3.75 bs - 3.45 cb)","Custom Wheel Solutions",368,"",29,0,0,29,"X",0,340,,0
"R31-687345 (DISCONTINUE...16x8 Igniter Polished 5x5.00, 4.50 bs - 3.45 cb)","Custom Wheel Solutions",368,"",22,0,0,22,"X",0,347,,0
"R31-688537 (SLOW...16x8 Igniter Polished 5x5.50, 3.75 bs - 3.45 cb)","Custom Wheel Solutions",368,"",15,0,0,15,"X",0,354,,0
"R31-688545 (DISCONTINUE...16x8 Igniter Polished 5x5.50, 4.50 bs - 3.45 cb)","Custom Wheel Solutions",368,"",24,0,0,24,"X",0,345,,0
"R31 (R31 - IGNITER POLISHED) - Other","Custom Wheel Solutions","","",0,0,0,0,,0,0,,0
"Total R31 (R31 - IGNITER POLISHED)",,,,496,4,0,492,,6,,,1.5
"R33 (R33 - IGNITER GRAY PAINTED)",,,,,,,,,,,,
"R33-566135 (15x6 Igniter Gray Painted 5x4.75, 3.50 bs)","Custom Wheel Solutions",356,"",13,0,0,13,"X",28,316,"06/15/2019",0.2
"R33-566535 (15x6 Igniter Gray Painted 5x4.50, 3.50 bs)","Custom Wheel Solutions",356,"",33,0,0,33,"X",24,300,"08/06/2019",0.9
"R33-567335 (15x6 Igniter Gray Painted 5x5.00, 3.50 bs - 3.45 cb)","Custom Wheel Solutions",356,"",6,0,0,6,"X",0,351,,1.9
"R33-576142 (15x7 Igniter Gray Painted 5x4.75, 4.25 bs)","Custom Wheel Solutions",357,"",53,0,0,53,"X",0,305,,0.9
"R33-576542 (15x7 Igniter Gray Painted 5x4.50, 4.25 bs)","Custom Wheel Solutions",357,"",25,0,0,25,"X",14,319,"08/06/2019",1.9
"R33-577342 (SLOW...15x7 Igniter Gray Painted 5x5.00, 4.25 bs - 3.45 cb)","Custom Wheel Solutions",357,"",13,0,0,13,"X",0,345,,0
"R33-586137 (15x8 Igniter Gray Painted 5x4.75, 3.75 bs)","Custom Wheel Solutions",358,"",15,0,0,15,"X",0,344,,0.9
"R33-586537 (15x8 Igniter Gray Painted 5x4.50, 3.75 bs)","Custom Wheel Solutions",358,"",34,0,0,34,"X",0,325,,0.7
"R33-587337 (15x8 Igniter Gray Painted 5x5.00, 3.75 bs - 3.45 cb)","Custom Wheel Solutions",358,"",16,0,0,16,"X",0,343,,0.9
"R33-646120 (SLOW...16x4.5 Igniter Gray Painted 5x4.75, 2.00 bs)","Custom Wheel Solutions",3645,"",27,0,0,27,"X",0,3619,,0
"R33-646520 (16x4.5 Igniter Gray Painted 5x4.50, 2.00 bs)","Custom Wheel Solutions",3645,"",8,0,0,8,"X",0,3638,,0
"R33-648520 (16x4.5 Igniter Gray Painted 5x5.50, 2.00 bs - 3.45 cb)","Custom Wheel Solutions",3645,"",26,0,0,26,"X",0,3620,,0
"R33-666135 (16x6 Igniter Gray Painted 5x4.75, 3.50 bs)","Custom Wheel Solutions",366,"",14,0,0,14,"X",0,353,,0
"R33-666535 (16x6 Igniter Gray Painted 5x4.50, 3.50 bs)","Custom Wheel Solutions",366,"",12,0,0,12,"X",0,355,,0
"R33-667335 (SLOW...16x6 Igniter Gray Painted 5x5.00, 3.50 bs - 3.45 cb)","Custom Wheel Solutions",366,"",10,0,0,10,"X",0,357,,0.5
"R33-668535 (16x6 Igniter Gray Painted 5x5.50, 3.50 bs - 3.45 cb)","Custom Wheel Solutions",366,"",22,0,0,22,"X",0,345,,0.5
"R33-686137 (16x8 Igniter Gray Painted 5x4.75, 3.75 bs)","Custom Wheel Solutions",368,"",11,0,0,11,"X",0,358,,0
"R33-686145 (16x8 Igniter Gray Painted 5x4.75, 4.50 bs)","Custom Wheel Solutions",368,"",16,0,0,16,"X",0,353,,0
"R33-686537 (16x8 Igniter Gray Painted 5x4.50, 3.75 bs)","Custom Wheel Solutions",368,"",19,0,0,19,"X",0,350,,0
"R33-686545 (SLOW...16x8 Igniter Gray Painted 5x4.50, 4.50 bs)","Custom Wheel Solutions",368,"",17,0,0,17,"X",0,352,,0
"R33-687337 (SLOW...16x8 Igniter Gray Painted 5x5.00, 3.75 bs - 3.45 cb)","Custom Wheel Solutions",368,"",8,0,0,8,"X",0,361,,0
"R33-687345 (SLOW...16x8 Igniter Gray Painted 5x5.00, 4.50 bs - 3.45 cb  SLOW)","Custom Wheel Solutions",368,"",22,0,0,22,"X",0,347,,0.5
"R33-688537 (SLOW...16x8 Igniter Gray Painted 5x5.50, 3.75 bs - 3.45 cb)","Custom Wheel Solutions",368,"",26,0,0,26,"X",0,343,,0
"R33-688545 (SLOW...16x8 Igniter Gray Painted 5x5.50, 4.50 bs - 3.45 cb)","Custom Wheel Solutions",368,"",15,0,0,15,"X",0,354,,0.9
"R33 (R33 - IGNITER GRAY PAINTED) - Other","Custom Wheel Solutions","","",0,0,0,0,,0,0,,0
"Total R33 (R33 - IGNITER GRAY PAINTED)",,,,461,0,0,461,,66,,,10.7
"R40 (R40 - LAUNCHER AS CAST)",,,,,,,,,,,,
"R40-546122 (15x4.5 Launcher As Cast 5x4.75, 2.25 bs)","Custom Wheel Solutions",4545,"",21,0,0,21,"X",21,4504,"08/06/2019",0.9
"R40-546522 (15x4.5 Launcher As Cast 5x4.50, 2.25 bs)","Custom Wheel Solutions",4545,"",47,0,0,47,"X",4,4495,"08/06/2019",1.4
"R40 (R40 - LAUNCHER AS CAST) - Other","Custom Wheel Solutions","","",0,0,0,0,,0,0,,0
"Total R40 (R40 - LAUNCHER AS CAST)",,,,68,0,0,68,,25,,,2.3
"R41 (R41 - LAUNCHER POLISHED)",,,,,,,,,,,,
"R41-546122 (15x4.5 Launcher Polished 5x4.75, 2.25 bs)","Custom Wheel Solutions",4545,"",55,2,0,53,"X",154,4337,"08/06/2019",2.8
"R41-546522 (15x4.5 Launcher Polished 5x4.50, 2.25 bs)","Custom Wheel Solutions",4545,"",46,2,0,44,"X",74,4426,"08/06/2019",1.4
"R41 (R41 - LAUNCHER POLISHED) - Other","Custom Wheel Solutions","","",0,0,0,0,,0,0,,0
"Total R41 (R41 - LAUNCHER POLISHED)",,,,101,4,0,97,,228,,,4.2
"R43 (R43 - LAUNCHER GRAY PAINTED)",,,,,,,,,,,,
"R43-546122 (15x4.5 Launcher Gray Painted 5x4.75, 2.25 bs)","Custom Wheel Solutions",4545,"",74,0,0,74,"X",25,4447,"08/06/2019",1.9
"R43-546522 (15x4.5 Launcher Gray Painted 5x4.50, 2.25 bs)","Custom Wheel Solutions",4545,"",54,0,0,54,"X",44,4448,"08/06/2019",0.5
"R43 (R43 - LAUNCHER GRAY PAINTED) - Other","Custom Wheel Solutions","","",0,0,0,0,,0,0,,0
"Total R43 (R43 - LAUNCHER GRAY PAINTED)",,,,128,0,0,128,,69,,,2.4
"R60 (R60 - INJECTOR AS CAST)",,,,,,,,,,,,
"R60-516130 (15x10 Injector As Cast 5x4.75, 3.00 bs)","Custom Wheel Solutions",651,"",27,0,0,27,"X",14,611,"05/24/2019",0.5
"R60-516137 (15x10 Injector As Cast 5x4.75, 3.75 bs)","Custom Wheel Solutions",651,"",16,0,0,16,"X",0,636,,0.9
"R60-516530 (15x10 Injector As Cast 5x4.50, 3.00 bs)","Custom Wheel Solutions",651,"",5,0,0,5,"X",12,635,"08/06/2019",0.5
"R60-516537 (15x10 Injector As Cast 5x4.50, 3.75 bs)","Custom Wheel Solutions",651,"",20,0,0,20,"X",0,632,,0.5
"R60-517337 (15x10 Injector As Cast 5x5.00, 3.75 bs - 3.45 cb)","Custom Wheel Solutions",651,"",12,0,0,12,"X",0,640,,0
"R60-518530 (SLOW...15x10 Injector As Cast 5x5.50, 3.00 bs - 3.45 cb)","Custom Wheel Solutions",651,"",12,0,0,12,"X",0,640,,0
"R60-518537 (SLOW...15x10 Injector As Cast 5x5.50, 3.75 bs  - 3.45 cb)","Custom Wheel Solutions",651,"",7,0,0,7,"X",12,633,"08/06/2019",0
"R60-546122 (15x4.5 Injector As Cast 5x4.75, 2.25 bs)","Custom Wheel Solutions",6545,"",18,0,0,18,"X",0,6528,,0.5
"R60-546522 (15x4.5 Injector As Cast 5x4.50, 2.25 bs)","Custom Wheel Solutions",6545,"",21,0,0,21,"X",5,6520,"08/06/2019",0
"R60-547322 (DISCONTINUE...15x4.5 Injector As Cast 5x5.00, 2.25 bs - 3.45 cb SLOW)","Custom Wheel Solutions",6545,"",16,0,0,16,"X",0,6530,,0
"R60-548522 (SLOW...15x4.5 Injector As Cast 5x5.50, 2.25 bs - 3.45 cb)","Custom Wheel Solutions",6545,"",9,0,0,9,"X",0,6537,,0
"R60-586137 (15x8 Injector As Cast 5x4.75, 3.75 bs)","Custom Wheel Solutions",658,"",37,0,0,37,"X",0,622,,0.9
"R60-586145 (15x8 Injector As Cast 5x4.75, 4.50 bs)","Custom Wheel Solutions",658,"",17,0,0,17,"X",0,642,,0
"R60-586537 (15x8 Injector As Cast 5x4.50, 3.75 bs)","Custom Wheel Solutions",658,"",13,0,0,13,"X",0,646,,0
"R60-586545 (15x8 Injector As Cast 5x4.50, 4.50 bs)","Custom Wheel Solutions",658,"",2,0,0,2,"X",0,657,,1.6
"R60-587337 (SLOW...15x8 Injector As Cast 5x5.00, 3.75 bs - 3.45 cb)","Custom Wheel Solutions",658,"",6,0,0,6,"X",0,653,,0
"R60-587345 (SLOW...15x8 Injector As Cast 5x5.00, 4.50 bs - 3.45 cb)","Custom Wheel Solutions",658,"",2,0,0,2,"X",12,645,"03/28/2019",0
"R60-588537 (15x8 Injector As Cast 5x5.50, 3.75 bs - 3.45 cb)","Custom Wheel Solutions",658,"",13,0,0,13,"X",0,646,,0
"R60-588545 (SLOW...15x8 Injector As Cast 5x5.50, 4.50 bs - 3.45 cb)","Custom Wheel Solutions",658,"",7,0,0,7,"X",0,652,,0
"R60-616130 (SLOW...16x10 Injector As Cast 5x4.75, 3.00 bs, 3.08 cb)","Custom Wheel Solutions","","",7,0,0,7,,0,0,,0
"R60-616137 (16x10 Injector As Cast 5x4.75, 3.75 bs, 3.08 cb)","Custom Wheel Solutions","","",14,0,0,14,,0,0,,0
"R60-616530 (SLOW...16x10 Injector As Cast 5x4.50, 3.00 bs, 3.08 cb)","Custom Wheel Solutions","","",13,0,0,13,,0,0,,0
"R60-616537 (SLOW...16x10 Injector As Cast 5x4.50, 3.75 bs, 3.08 cb)","Custom Wheel Solutions","","",20,0,0,20,,0,0,,0
"R60-617337 (DISCONTINUE...16x10 Injector As Cast 5x5.00, 3.75 bs, 3.45 cb)","Custom Wheel Solutions","","",14,0,0,14,,0,0,,0
"R60-618337-4WD (DISCONTINUE...16x10 Injector As Cast (4WD TRUCK) 6x5.50, 3.75 bs,...","Custom Wheel Solutions","","",22,0,0,22,,0,0,,0
"R60-618530 (SLOW...16x10 Injector As Cast 5x5.50, 3.00 bs, 3.45 cb)","Custom Wheel Solutions","","",16,0,0,16,,0,0,,0
"R60-618537 (SLOW...16x10 Injector As Cast 5x5.50, 3.75 bs, 3.45 cb)","Custom Wheel Solutions","","",13,0,0,13,,0,0,,0
"R60-618537-4WD (SLOW...16x10 Injector As Cast (4WD TRUCK) 5x5.50, 3.75 bs, 4.25 c...","Custom Wheel Solutions","","",13,0,0,13,,0,0,,0
"R60 (R60 - INJECTOR AS CAST) - Other","Custom Wheel Solutions","","",0,0,0,0,,0,0,,0
"Total R60 (R60 - INJECTOR AS CAST)",,,,392,0,0,392,,55,,,5.4
"R61 (R61 - INJECTOR POLISHED)",,,,,,,,,,,,
"R61-516130 (15x10 Injector Polished 5x4.75, 3.00 bs)","Custom Wheel Solutions",651,"",33,0,0,33,"X",0,619,,0.7
"R61-516137 (15x10 Injector Polished 5x4.75, 3.75 bs)","Custom Wheel Solutions",651,"",21,0,0,21,"X",0,631,,0.5
"R61-516530 (15x10 Injector Polished 5x4.50, 3.00 bs)","Custom Wheel Solutions",651,"",21,2,0,19,"X",0,631,,0
"R61-516537 (15x10 Injector Polished 5x4.50, 3.75 bs)","Custom Wheel Solutions",651,"",21,0,0,21,"X",0,631,,1.9
"R61-517337 (15x10 Injector Polished 5x5.00, 3.75 bs - 3.45 cb)","Custom Wheel Solutions",651,"",7,0,0,7,"X",10,635,"08/06/2019",0
"R61-518530 (15x10 Injector Polished 5x5.50, 3.00 bs - 3.45 cb)","Custom Wheel Solutions",651,"",10,0,0,10,"X",0,642,,0
"R61-518537 (15x10 Injector Polished 5x5.50, 3.75 bs - 3.45 cb)","Custom Wheel Solutions",651,"",9,0,0,9,"X",0,643,,0.9
"R61-546122 (15x4.5 Injector Polished 5x4.75, 2.25 bs)","Custom Wheel Solutions",6545,"",36,2,0,34,"X",0,6510,,0
"R61-546522 (15x4.5 Injector Polished 5x4.50, 2.25 bs)","Custom Wheel Solutions",6545,"",18,0,0,18,"X",28,6500,"08/06/2019",0.5
"R61-547322 (SLOW...15x4.5 Injector Polished 5x5.00, 2.25 bs - 3.45 cb)","Custom Wheel Solutions",6545,"",12,0,0,12,"X",0,6534,,0
"R61-548522 (SLOW...15x4.5 Injector Polished 5x5.50, 2.25 bs - 3.45 cb)","Custom Wheel Solutions",6545,"",3,0,0,3,"X",0,6543,,0.5
"R61-586137 (15x8 Injector Polished 5x4.75, 3.75 bs)","Custom Wheel Solutions",658,"",16,2,0,14,"X",0,643,,0
"R61-586145 (15x8 Injector Polished 5x4.75, 4.50 bs)","Custom Wheel Solutions",658,"",18,0,0,18,"X",0,641,,0.5
"R61-586537 (15x8 Injector Polished 5x4.50, 3.75 bs)","Custom Wheel Solutions",658,"",26,0,0,26,"X",0,633,,0.9
"R61-586545 (15x8 Injector Polished 5x4.50, 4.50 bs)","Custom Wheel Solutions",658,"",9,0,0,9,"X",0,650,,0.5
"R61-587337 (SLOW...15x8 Injector Polished 5x5.00, 3.75 bs - 3.45 cb)","Custom Wheel Solutions",658,"",0,4,0,-4,"X",12,647,"03/28/2019",0
"R61-587345 (SLOW...15x8 Injector Polished 5x5.00, 4.50 bs - 3.45 cb)","Custom Wheel Solutions",658,"",25,2,0,23,"X",0,634,,0
"R61-588537 (15x8 Injector Polished 5x5.50, 3.75 bs - 3.45 cb)","Custom Wheel Solutions",658,"",25,0,0,25,"X",0,634,,0
"R61-588545 (SLOW...15x8 Injector Polished 5x5.50, 4.50 bs - 3.45 cb)","Custom Wheel Solutions",658,"",12,0,0,12,"X",0,647,,0
"R61-616130 (SLOW...16x10 Injector Polished 5x4.75, 3.00 bs, 3.08 cb)","Custom Wheel Solutions","","",16,0,0,16,,0,0,,0
"R61-616137 (SLOW...16x10 Injector Polished 5x4.75, 3.75 bs, 3.08 cb)","Custom Wheel Solutions","","",16,0,0,16,,0,0,,0
"R61-616530 (SLOW...16x10 Injector Polished 5x4.50, 3.00 bs, 3.08 cb)","Custom Wheel Solutions","","",15,0,0,15,,0,0,,0
"R61-616537 (SLOW...16x10 Injector Polished 5x4.50, 3.75 bs, 3.08 cb)","Custom Wheel Solutions","","",10,0,0,10,,0,0,,0
"R61-617337 (DISCONTINUE...16x10 Injector Polished 5x5.00, 3.75 bs, 3.45 cb)","Custom Wheel Solutions","","",15,0,0,15,,0,0,,0.5
"R61-618337-4WD (SLOW...16x10 Injector Polished (4WD Truck) 6x5.50, 3.75 bs, 4.25 ...","Custom Wheel Solutions","","",9,0,0,9,,0,0,,0
"R61-618530 (SLOW...16x10 Injector Polished 5x5.50, 3.00 bs, 3.45 cb)","Custom Wheel Solutions","","",14,0,0,14,,0,0,,0
"R61-618537 (SLOW...16x10 Injector Polished 5x5.50, 3.75 bs, 3.45 cb)","Custom Wheel Solutions","","",13,0,0,13,,0,0,,0
"R61-618537-4WD (SLOW...16x10 Injector Polished (4WD Truck) 5x5.50, 3.75 bs, 4.25 ...","Custom Wheel Solutions","","",7,0,0,7,,0,0,,0
"R61 (R61 - INJECTOR POLISHED) - Other","Custom Wheel Solutions","","",0,0,0,0,,0,0,,0
"Total R61 (R61 - INJECTOR POLISHED)",,,,437,12,0,425,,50,,,7.4
"R70 (R70 - STRIKE AS CAST)",,,,,,,,,,,,
"R70-516140 (SLOW...15x10 Strike As Cast Center Machined Outer 5x4.75, 4.00 bs)","Custom Wheel Solutions",751,"",2,0,0,2,"X",0,750,,0
"R70-516150 (15x10 Strike As Cast Center Machined Outer 5x4.75, 5.00 bs)","Custom Wheel Solutions",751,"",0,0,0,0,"X",10,742,"05/24/2019",0
"R70-516540 (SLOW...15x10 Strike As Cast Center Machined Outer 5x4.50, 4.00 bs)","Custom Wheel Solutions",751,"",20,0,0,20,"X",0,732,,0
"R70-516550 (15x10 Strike As Cast Center Machined Outer 5x4.50, 5.00 bs)","Custom Wheel Solutions",751,"",7,0,0,7,"X",0,745,,0
"R70-517340 (DISCONTINUE...15x10 Strike As Cast Center Machined Outer 5x5.00, 4.00...","Custom Wheel Solutions",751,"",34,0,0,34,"X",0,718,,0.5
"R70-517350 (SLOW...15x10 Strike As Cast Center Machined Outer 5x5.00, 5.00 bs - 3...","Custom Wheel Solutions",751,"",18,0,0,18,"X",0,734,,0
"R70-518540 (15x10 Strike As Cast Center Machined Outer 5x5.50, 4.00 bs - 3.45 cb ...","Custom Wheel Solutions",751,"",14,0,0,14,"X",0,738,,0.5
"R70-518550 (15x10 Strike As Cast Center Machined Outer 5x5.50, 5.00 bs - 3.45 cb ...","Custom Wheel Solutions",751,"",28,0,0,28,"X",0,724,,0
"R70-546117 (15x4.5 Strike As Cast Center Machined Outer 5x4.75, 1.75 bs)","Custom Wheel Solutions",7545,"",58,0,0,58,"X",0,7488,,0
"R70-546517 (15x4.5 Strike As Cast Center Machined Outer 5x4.50, 1.75 bs)","Custom Wheel Solutions",7545,"",39,0,0,39,"X",0,7507,,0
"R70-548517 (SLOW...15x4.5 Strike As Cast Center Machined Outer 5x5.50, 1.75 bs - ...","Custom Wheel Solutions",7545,"",19,0,0,19,"X",0,7527,,0
"R70-566132 (15x6 Strike As Cast Center Machined Outer 5x4.75, 3.25 bs)","Custom Wheel Solutions",756,"",12,0,0,12,"X",0,745,,0.5
"R70-566532 (15x6 Strike As Cast Center Machined Outer 5x4.50, 3.25 bs)","Custom Wheel Solutions",756,"",11,0,0,11,"X",0,746,,0
"R70-568532 (15x6 Strike As Cast Center Machined Outer 5x5.50, 3.25 bs - 3.45 cb -...","Custom Wheel Solutions",756,"",6,0,0,6,"X",0,751,,0
"R70-576142 (15x7 Strike As Cast Center Machined Outer 5x4.75, 4.25 bs)","Custom Wheel Solutions",757,"",8,0,0,8,"X",0,750,,0.5
"R70-576542 (15x7 Strike As Cast Center Machined Outer 5x4.50, 4.25 bs)","Custom Wheel Solutions",757,"",1,0,0,1,"X",12,745,"08/06/2019",0
"R70-577342 (SLOW...15x7 Strike As Cast Center Machined Outer 5x5.00, 4.25 bs - 3....","Custom Wheel Solutions",757,"",20,0,0,20,"X",0,738,,0
"R70-578542 (15x7 Strike As Cast Center Machined Outer 5x5.50, 4.25 bs - 3.45 cb)","Custom Wheel Solutions",757,"",12,0,0,12,"X",5,741,"05/24/2019",0.5
"R70-586140 (15x8 Strike As Cast Center Machined Outer 5x4.75, 4.00 bs)","Custom Wheel Solutions",758,"",17,0,0,17,"X",0,742,,0
"R70-586145 (15x8 Strike As Cast Center Machined Outer 5x4.75, 4.50 bs)","Custom Wheel Solutions",758,"",12,0,0,12,"X",0,747,,0
"R70-586540 (15x8 Strike As Cast Center Machined Outer 5x4.50, 4.00 bs)","Custom Wheel Solutions",758,"",14,0,0,14,"X",0,745,,0
"R70-586545 (SLOW...15x8 Strike As Cast Center Machined Outer 5x4.50, 4.50 bs)","Custom Wheel Solutions",758,"",9,0,0,9,"X",0,750,,0
"R70-587340 (SLOW...15x8 Strike As Cast Center Machined Outer 5x5.00, 4.00 bs - 3....","Custom Wheel Solutions",758,"",10,0,0,10,"X",0,749,,0.5
"R70-587345 (SLOW...15x8 Strike As Cast Center Machined Outer 5x5.00, 4.50 bs - 3....","Custom Wheel Solutions",758,"",22,0,0,22,"X",0,737,,0
"R70-588540 (15x8 Strike As Cast Center Machined Outer 5x5.50, 4.00 bs - 3.45 cb)","Custom Wheel Solutions",758,"",26,4,0,22,"X",0,733,,0
"R70-588545 (SLOW...15x8 Strike As Cast Center Machined Outer 5x5.50, 4.50 bs - 3....","Custom Wheel Solutions",758,"",18,0,0,18,"X",0,741,,0
"R70-776142 (SLOW...17x7 Strike As Cast Center Machined Outer 5x4.75, 4.25 bs - 3....","Custom Wheel Solutions",777,"",25,0,0,25,"X",0,753,,0
"R70-776542 (SLOW...17x7 Strike As Cast Center Machined Outer 5x4.50, 4.25 bs - 3....","Custom Wheel Solutions",777,"",20,0,0,20,"X",0,758,,0
"R70-777342 (DISCONTINUE...17x7 Strike As Cast Center Machined Outer 5x5.00, 4.25 ...","Custom Wheel Solutions",777,"",30,0,0,30,"X",0,748,,0
"R70-778542 (DISCONTINUE...17x7 Strike As Cast Center Machined Outer 5x5.50, 4.25 ...","Custom Wheel Solutions",777,"",14,0,0,14,"X",0,764,,0.5
"R70-786145 (SLOW...17x8 Strike As Cast Center Machined Outer 5x4.75, 4.50 bs - 3....","Custom Wheel Solutions",778,"",40,0,0,40,"X",0,739,,0
"R70-786545 (SLOW...17x8 Strike As Cast Center Machined Outer 5x4.50, 4.50 bs - 3....","Custom Wheel Solutions",778,"",12,0,0,12,"X",0,767,,0
"R70-787345 (DISCONTINUE...17x8 Strike As Cast Center Machined Outer 5x5.00, 4.50 ...","Custom Wheel Solutions",778,"",31,0,0,31,"X",0,748,,0
"R70-788545 (DISCONTINUE...17x8 Strike As Cast Center Machined Outer 5x5.50, 4.50 ...","Custom Wheel Solutions",778,"",14,0,0,14,"X",0,765,,0.5
"R70 (R70 - STRIKE AS CAST) - Other","Custom Wheel Solutions","","",0,0,0,0,,0,0,,0
"Total R70 (R70 - STRIKE AS CAST)",,,,623,4,0,619,,27,,,4
"R71 (R71 - STRIKE POLISHED)",,,,,,,,,,,,
"R71-516140 (15x10 Strike Polished 5x4.75, 4.00 bs)","Custom Wheel Solutions",751,"",18,0,0,18,"X",0,734,,0
"R71-516150 (15x10 Strike Polished 5x4.75, 5.00 bs)","Custom Wheel Solutions",751,"",17,0,0,17,"X",0,735,,0
"R71-516540 (15x10 Strike Polished 5x4.50, 4.00 bs)","Custom Wheel Solutions",751,"",8,0,0,8,"X",0,744,,0.9
"R71-516550 (15x10 Strike Polished 5x4.50, 5.00 bs)","Custom Wheel Solutions",751,"",21,0,0,21,"X",0,731,,0
"R71-517340 (15x10 Strike Polished 5x5.00, 4.00 bs - 3.45 cb)","Custom Wheel Solutions",751,"",27,0,0,27,"X",0,725,,0
"R71-517350 (15x10 Strike Polished 5x5.00, 5.00 bs - 3.45 cb)","Custom Wheel Solutions",751,"",3,4,0,-1,"X",0,749,,0
"R71-518540 (15x10 Strike Polished 5x5.50, 4.00 bs - 3.45 cb)","Custom Wheel Solutions",751,"",22,0,0,22,"X",0,730,,0
"R71-518550 (15x10 Strike Polished 5x5.50, 5.00 bs - 3.45 cb SLOW)","Custom Wheel Solutions",751,"",16,0,0,16,"X",0,736,,0
"R71-546117 (15x4.5 Strike Polished 5x4.75, 1.75 bs)","Custom Wheel Solutions",7545,"",39,0,0,39,"X",0,7507,,0.5
"R71-546517 (15x4.5 Strike Polished 5x4.50, 1.75 bs)","Custom Wheel Solutions",7545,"",19,0,0,19,"X",0,7527,,0.5
"R71-548517 (15x4.5 Strike Polished 5x5.50, 1.75 bs - 3.45 cb SLOW)","Custom Wheel Solutions",7545,"",17,0,0,17,"X",0,7529,,0
